图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
86,趣说中国史：如果把中国422位皇帝放在一个群里，他们会聊些什么？...,趣哥,2020-11-01,台海出版社,24.9
87,理想国,柏拉图,2012-05-01,中国华侨出版社,15.7
88,学会管自己幼儿版-歪歪兔自控力教育系列绘本（全10册，幼儿园情绪...,歪歪兔关键期早教项目组,2017-06-01,海豚出版社,44.0
89,致我独一无二的宝贝（联合国秘书长安东尼奥・古特雷斯高度评价，...,沙尼・金,2020-10-14,湖南美术出版社,22.1
90,全球最美的100个地方 图说天下 国家地理,图说天下.国家地理,2012-06-01,北京联合出版公司,7.7
92,下雨的书店（全4册）,日向理惠子,2021-08-01,新星出版社,66.5
93,哈利・波特与魔法石 (平装)（《语文》教材推荐阅读书目，外国儿童...,J.K.罗琳,2018-11-01,人民文学出版社,32.0
94,心若菩提(增订本),曹德旺,2020-10-01,人民出版社,66.7
95,愿望的实现（手绘精美插图，亚洲诺贝尔文学奖得主泰戈尔代表作之...,泰戈尔,2019-10-01,浙江工商大学出版社,9.9
96,她来了请准备（月经来了，你准备好了吗？）,优米・斯泰恩斯,2021-10-01,海豚出版社,29.5
97,皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一...,蔡崇达,2019-05-01,天津人民出版社,24.9
98,大熊先生盖房子（澳大利亚青少年图书奖获奖作家、加拿大总督奖获...,珍・戈德温,2017-11-01,中译出版社,22.1
99,跟着诗词去旅行 图说天下 寻梦之旅,郝娟菡,2019-09-01,四川人民出版社,22.1
100,新版林格伦作品选集・美绘版 长袜子皮皮,阿斯特丽德・林格伦,2018-03-01,中国少年儿童出版社,16.8
102,霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的...,哥伦比亚,2020-03-01,南海出版公司,49.6
103,草房子（当当网定制版）,曹文轩,2015-03-01,天天出版社有限责任公司,12.5
104,丰子恺万般滋味，都是生活,丰子恺,2018-09-01,华中科技大学出版社,18.9
105,世界上最棒的礼物――图画中隐藏无数细节，让小小孩玩过瘾！,赖马,2019-06-30,北京联合出版有限公司,22.9
106,没头脑和不高兴（注音版）（简单的故事，不简单的道理）,任溶溶,2017-10-01,南方出版社,13.3
107,古文观止（上下册，原文+导读+注释+翻译，特别适合青少年）,吴楚材,2016-09-01,浙江教育出版社,24.4
